render backend: http://127.0.0.1:8080/render
admin data:     http://127.0.0.1:9090/admin/stats
[INFO] thread pool initialized with 16 workers
[23:30:38] 127.0.0.1:41766       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:38] 127.0.0.1:41774       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:38] 127.0.0.1:41790       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:38] 127.0.0.1:41792       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:38] 127.0.0.1:41794       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:38] 127.0.0.1:41810       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:38] 127.0.0.1:41812       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.7ms
[23:30:38] 127.0.0.1:41832       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:38] 127.0.0.1:41846       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:38] 127.0.0.1:41852       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:38] 127.0.0.1:41848       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:38] 127.0.0.1:41862       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:38] 127.0.0.1:41864       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:38] 127.0.0.1:41882       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:38] 127.0.0.1:41880       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:39] 127.0.0.1:41894       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:39] 127.0.0.1:41900       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:39] 127.0.0.1:41908       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:39] 127.0.0.1:41910       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:41914       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:39] 127.0.0.1:41924       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:39] 127.0.0.1:41932       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:39] 127.0.0.1:41930       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.3ms
[23:30:39] 127.0.0.1:41948       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:39] 127.0.0.1:41946       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:39] 127.0.0.1:41966       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:41982       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:41986       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:39] 127.0.0.1:41984       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.4ms
[23:30:39] 127.0.0.1:41990       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:41992       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42018       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:39] 127.0.0.1:42020       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:39] 127.0.0.1:42040       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42052       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:39] 127.0.0.1:42056       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:39] 127.0.0.1:42054       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:39] 127.0.0.1:42072       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42070       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42086       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:39] 127.0.0.1:42082       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.3ms
[23:30:39] 127.0.0.1:42090       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:39] 127.0.0.1:42088       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:39] 127.0.0.1:42096       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42094       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
